genres,id,keywords,original_language,production_companies,title,cast,index
  Action  Adventure  Fantasy  Science Fiction,19995,  culture clash  future  space war  space colony  society  space travel  futuristic  romance  space  alien  tribe  alien planet  cgi  marine  soldier  battle  love affair  anti war  power relations  mind and soul  3d,en, Ingenious Film Partners  Twentieth Century Fox Film Corporation  Dune Entertainment  Lightstorm Entertainment,Avatar,  Sam Worthington  Zoe Saldana  Sigourney Weaver  Stephen Lang  Michelle Rodriguez,0
  Adventure  Fantasy  Action,285,  ocean  drug abuse  exotic island  east india trading company  love of one's life  traitor  shipwreck  strong woman  ship  alliance  calypso  afterlife  fighter  pirate  swashbuckler  aftercreditsstinger,en, Walt Disney Pictures  Jerry Bruckheimer Films  Second Mate Productions,Pirates of the Caribbean: At World's End,  Johnny Depp  Orlando Bloom  Keira Knightley  Stellan Skarsg\u00e5rd  Chow Yun-fat,1
  Action  Crime  Drama  Thriller,49026,  dc comics  crime fighter  terrorist  secret identity  burglar  hostage drama  time bomb  gotham city  vigilante  cover-up  superhero  villainess  tragic hero  terrorism  destruction  catwoman  cat burglar  imax  flood  criminal underworld  batman,en, Legendary Pictures  Warner Bros.  DC Entertainment  Syncopy,The Dark Knight Rises,  Christian Bale  Michael Caine  Gary Oldman  Anne Hathaway  Tom Hardy,2
  Action  Adventure  Science Fiction,49529,  based on novel  mars  medallion  space travel  princess  alien  steampunk  martian  escape  edgar rice burroughs  alien race  superhuman strength  mars civilization  sword and planet  19th century  3d,en, Walt Disney Pictures,John Carter,  Taylor Kitsch  Lynn Collins  Samantha Morton  Willem Dafoe  Thomas Haden Church,3
  Fantasy  Action  Adventure,559,  dual identity  amnesia  sandstorm  love of one's life  forgiveness  spider  wretch  death of a friend  egomania  sand  narcism  hostility  marvel comic  sequel  superhero  revenge,en, Columbia Pictures  Laura Ziskin Productions  Marvel Enterprises,Spider-Man 3,  Tobey Maguire  Kirsten Dunst  James Franco  Thomas Haden Church  Topher Grace,4
  Animation  Family,38757,  hostage  magic  horse  fairy tale  musical  princess  animation  tower  blonde woman  selfishness  healing power  based on fairy tale  duringcreditsstinger  healing gift  animal sidekick,en, Walt Disney Pictures  Walt Disney Animation Studios,Tangled,  Zachary Levi  Mandy Moore  Donna Murphy  Ron Perlman  M.C. Gainey,5
  Action  Adventure  Science Fiction,99861,  marvel comic  sequel  superhero  based on comic book  vision  superhero team  duringcreditsstinger  marvel cinematic universe  3d,en, Marvel Studios  Prime Focus  Revolution Sun Studios,Avengers: Age of Ultron,  Robert Downey Jr.  Chris Hemsworth  Mark Ruffalo  Chris Evans  Scarlett Johansson,6
  Adventure  Fantasy  Family,767,  witch  magic  broom  school of witchcraft  wizardry  apparition  teenage crush  werewolf,en, Warner Bros.  Heyday Films,Harry Potter and the Half-Blood Prince,  Daniel Radcliffe  Rupert Grint  Emma Watson  Tom Felton  Michael Gambon,7
  Action  Adventure  Fantasy,209112,  dc comics  vigilante  superhero  based on comic book  revenge  super powers  clark kent  bruce wayne  dc extended universe,en, DC Comics  Atlas Entertainment  Warner Bros.  DC Entertainment  Cruel & Unusual Films  RatPac-Dune Entertainment,Batman v Superman: Dawn of Justice,  Ben Affleck  Henry Cavill  Gal Gadot  Amy Adams  Jesse Eisenberg,8
  Adventure  Fantasy  Action  Science Fiction,1452,  saving the world  dc comics  invulnerability  sequel  superhero  based on comic book  kryptonite  super powers  superhuman strength  lex luthor,en, DC Comics  Legendary Pictures  Warner Bros.  Bad Hat Harry Productions,Superman Returns,  Brandon Routh  Kevin Spacey  Kate Bosworth  James Marsden  Parker Posey,9
